Time(s),PacketUID,Delay(ms)
3.19475,11619,94.7473
3.21001,11747,10.0143
3.31837,12477,18.3685
3.41001,12506,10.0143
3.51001,13294,10.0143
3.61001,13339,10.0143
3.72539,14115,25.3931
3.81001,14165,10.0143
3.91001,14947,10.0143
4.02488,14968,24.8843
4.11017,15641,10.1743
4.12353,11620,1023.53
4.13532,11748,935.317
4.217,15885,17.0044
4.26374,15886,63.7382
4.31855,16714,18.5468
4.32874,16715,28.7366
4.41001,16913,10.0143
4.42372,16914,23.7171
4.52312,17668,23.1248
4.53351,17669,33.5143
4.61657,17800,16.5728
4.67676,17801,76.7643
4.71001,18381,10.0143
4.7187,18380,18.6979
4.81517,18865,15.1663
4.8291,18864,29.1027
4.91001,19754,10.0143
4.92555,19753,25.5489
5.00408,19752,104.076
5.01001,20376,10.0143
5.01083,20375,10.8344
5.09321,20374,93.2081
5.11001,21258,10.0143
5.11634,21257,16.3403
5.12543,21256,25.4314
5.21001,21916,10.0143
5.21788,21915,17.8764
5.2207,21917,20.6983
5.31001,22605,10.0143
5.31567,22604,15.6663
5.41001,23375,10.0143
5.42276,23376,22.7583
5.51001,24422,10.0143
5.51788,24423,17.8831
5.61001,24707,10.0143
5.62333,24708,23.3307
5.72507,25146,25.067
5.73041,25145,30.4113
5.81001,25716,10.0143
5.83444,25717,34.4367
5.91001,26581,10.0143
6.01001,27488,10.0143
6.02376,26580,123.761
6.14948,28470,49.4761
6.25062,29474,50.6177
6.29078,27487,290.784
6.34579,28469,245.785
6.38457,30272,84.5716
6.41001,31214,10.0143
6.51591,32185,15.9063
6.61001,33450,10.0143
6.74936,34667,49.3556
7.18122,37136,281.222
