Time(s),PacketUID,Delay(ms)
3.11195,39371,11.9505
3.12308,39391,23.0777
3.12524,39394,25.2363
3.13233,39359,32.3307
3.14363,39374,43.6325
3.15656,39381,56.5557
3.17588,39364,75.8815
3.19748,39361,97.4764
3.21026,40485,10.2622
3.21559,40473,15.5909
3.21581,40482,15.8065
3.21597,40488,15.9724
3.22314,40508,23.1366
3.22661,40505,26.615
3.26298,39377,162.983
3.29654,40478,96.537
3.3045,40475,104.496
3.31197,41197,11.9747
3.31955,41177,19.5455
3.32654,41170,26.5365
3.33025,41200,30.2532
3.37946,41180,79.4591
3.40694,43218,6.93586
3.41618,43221,16.1803
3.42283,43191,22.8262
3.42306,43201,23.0645
3.46249,43198,62.491
3.46286,41183,162.86
3.47839,41167,178.394
3.48425,41165,184.246
3.49597,43188,95.9727
3.51005,44164,10.0545
3.51592,44144,15.9187
3.5187,39367,418.7
3.51876,44141,18.7602
3.52406,44161,24.0644
3.53218,44131,32.1778
3.55271,41174,252.711
3.58274,43195,182.738
3.61372,45115,13.7222
3.62638,45112,26.3752
3.6316,44138,131.6
3.63479,44134,134.785
3.64517,45095,45.1691
3.65115,41187,351.151
3.68327,45082,83.2737
3.69029,41173,390.288
3.70195,43194,301.947
3.70248,45092,102.475
3.71648,45920,16.4787
3.71892,45917,18.9218
3.73096,43208,330.959
3.73284,45897,32.838
3.73893,45085,138.931
3.741,41203,441.002
3.75967,45890,59.667
3.79157,44137,291.568
3.81587,47094,15.8742
3.82164,47114,21.6384
3.82908,47084,29.0827
3.85941,47091,59.4069
3.87565,47081,75.6549
3.91002,47967,10.0222
3.91006,47970,10.0622
3.91524,47957,15.2441
3.99339,47111,193.388
4.00729,49077,7.28514
4.02734,47990,127.335
4.04292,49080,42.9224
4.05164,49100,51.6392
4.11011,50570,10.1145
4.12257,45900,422.571
4.12828,50550,28.2751
4.14316,47977,243.163
4.16339,45887,463.392
4.1704,47987,270.404
4.17854,47960,278.545
4.22456,49087,224.557
4.22874,49097,228.743
4.23022,49070,230.221
4.25634,52020,56.3444
4.26728,52033,67.2809
4.29033,52053,90.3263
4.33305,50547,233.05
4.35337,53211,53.3719
4.4065,54735,6.4963
4.41578,39387,1315.78
4.43291,54715,32.9083
4.4398,50567,339.801
4.44461,50540,344.612
4.45801,52023,258.005
4.48272,53181,182.718
4.52877,56089,28.7669
4.53601,54705,136.01
4.53701,56069,37.0111
4.55405,56059,54.0547
4.59946,40501,1399.46
4.61001,57268,10.0145
4.61529,57238,15.2864
4.61612,57248,16.1187
4.64952,52030,449.52
4.71289,58401,12.8937
4.72748,53188,427.478
4.77848,58371,78.4824
4.79669,43187,1396.69
4.80168,54720,401.682
4.82623,53191,526.228
4.83903,58381,139.026
4.84969,56074,349.685
4.87315,59734,73.1537
4.88019,59714,80.1903
4.8871,44130,1387.1
4.89066,54712,490.661
4.89726,41166,1597.26
4.90048,59704,100.485
4.90668,56066,406.682
4.91504,45081,1315.04
4.92669,39360,1826.69
4.92814,60831,28.1449
4.93217,45886,1232.17
4.97602,60801,76.0162
4.97827,57245,378.269
4.99227,40474,1792.27
5.01445,57253,414.453
5.02951,62416,29.5089
5.05911,44129,1559.11
5.07664,45080,1476.64
5.08829,45885,1388.29
5.10085,47079,1300.85
5.10981,47955,1209.81
5.12251,64110,22.5087
5.12789,49065,1127.89
5.15778,58386,457.777
5.1689,58398,468.902
5.17166,62386,171.665
5.18755,50535,1087.55
5.20357,52018,1003.57
5.20357,58378,503.57
5.20582,65703,5.81707
5.20714,47080,1407.14
5.23613,53176,936.127
5.25062,64080,150.62
5.26395,54700,863.952
5.2858,65673,85.8007
5.28604,65683,86.0351
5.28716,56054,787.161
5.32063,59719,520.632
5.32224,60828,422.235
5.34889,67032,48.8933
5.44955,60816,549.547
5.45053,62413,450.526
5.45371,68331,53.7059
5.49588,62401,495.884
5.52608,47956,1626.08
5.52632,69719,26.3214
5.52803,68308,128.031
5.54208,68301,142.085
5.56295,57233,962.952
5.57467,60808,674.672
5.59829,68328,198.286
5.62875,59731,828.753
5.63473,71397,34.7276
5.64038,58366,940.383
5.65,71367,50.0034
5.68606,50536,1586.06
5.71209,72775,12.0938
5.74377,64107,643.77
5.77339,72745,73.3878
5.80654,74459,6.53862
5.81079,65700,610.785
5.84745,57234,1247.45
5.87418,72765,174.179
5.87766,62393,877.662
5.89638,67029,596.378
5.91809,76103,18.0926
6.03792,77755,37.9162
6.12254,79821,22.5418
6.14837,72772,448.372
6.1624,72752,462.403
6.19022,74436,390.218
6.25995,74456,459.952
6.2957,79798,195.704
6.2968,81714,96.8033
6.31921,83633,19.2066
6.32397,74449,523.971
6.33136,76100,431.361
6.35157,76093,451.573
6.37927,76073,479.269
6.38142,64095,1281.42
6.40294,77752,402.941
6.40485,85806,4.85021
6.42324,65688,1223.24
6.42721,77722,427.211
6.43777,77725,437.772
6.43977,81691,239.773
6.50591,87524,5.90534
6.52814,79791,428.138
6.52937,76080,629.374
6.54491,77732,544.913
6.61884,79786,518.837
6.63214,89166,32.1365
