Time(s),PacketUID,Delay(ms)
3.10675,34985,6.74838
3.20485,35624,4.85012
3.3059,37387,5.90457
3.40485,37928,4.85012
3.50485,38996,4.85012
3.60485,39765,4.85012
3.70781,41418,7.8067
3.80485,41819,4.85012
3.8112,34987,711.199
3.84885,35626,648.853
3.87072,37389,570.718
3.88728,37930,487.279
3.90485,42584,4.85012
3.91351,38998,413.506
3.93704,39767,337.041
3.9534,41420,253.401
3.97014,41821,170.137
3.99868,42586,98.6818
4.00485,43749,4.85012
4.02551,43751,25.5068
4.10485,45000,4.85012
4.12551,45002,25.5068
4.20485,46141,4.85012
4.24709,46143,47.0866
4.30613,47117,6.13063
4.32551,47119,25.5068
4.40485,47589,4.85012
4.44503,47591,45.0307
4.50551,47853,5.50838
4.52551,47855,25.5068
4.60485,49480,4.85012
4.63823,49482,38.2308
4.70485,49795,4.85012
4.72551,49797,25.5068
4.80485,51386,4.85012
4.84359,51388,43.5914
4.90572,51863,5.72312
4.92551,51865,25.5068
5.00485,53613,4.85012
5.06551,53615,65.5105
5.10485,54491,4.85012
5.12551,54493,25.5068
5.20485,54761,4.85012
5.2307,54763,30.6988
5.30485,56163,4.85012
5.32551,56165,25.5068
5.40485,56547,4.85012
5.43681,56549,36.8108
5.50988,57936,9.88099
5.52551,57938,25.5068
5.60485,58685,4.85012
5.64796,58687,47.9628
5.70485,60037,4.85012
5.72551,60039,25.5068
5.80485,60652,4.85012
5.87656,60654,76.5611
5.90529,61967,5.28693
5.92551,61969,25.5068
6.00485,62481,4.85012
6.0835,62483,83.5034
6.10485,63801,4.85012
6.12551,63803,25.5068
6.20485,64478,4.85012
6.23926,64480,39.2643
6.30485,65820,4.85012
6.32551,65822,25.5068
6.40485,66448,4.85012
6.43651,66450,36.5108
6.50485,67978,4.85012
6.52551,67980,25.5068
6.60485,68718,4.85012
6.63168,68720,31.6788
6.70485,70109,4.85012
6.72551,70111,25.5068
6.80485,70789,4.85012
6.83178,70791,31.7813
6.90797,72239,7.96838
6.92551,72241,25.5068
7.00485,72940,4.85012
7.04178,72942,41.7773
7.10755,74391,7.55051
7.12551,74393,25.5068
7.20485,74970,4.85012
7.24869,74972,48.6866
7.30616,76161,6.16099
7.32551,76163,25.5068
7.40485,77097,4.85012
7.4322,77099,32.1952
7.50639,78465,6.39051
7.52551,78467,25.5068
7.60485,79041,4.85012
7.63106,79043,31.0588
7.70637,80430,6.36857
7.72551,80432,25.5068
7.80485,81348,4.85012
7.83114,81350,31.1388
7.90485,81895,4.85012
7.92551,81897,25.5068
8.00485,82129,4.85012
8.04825,82131,48.2491
8.10509,83616,5.09083
8.12551,83618,25.5068
8.20485,84091,4.85012
8.27692,84093,76.9202
8.30938,85554,9.38099
8.32551,85556,25.5068
8.40485,86049,4.85012
8.42551,86051,25.5068
8.50485,87560,4.85012
8.52551,87562,25.5068
8.60485,87975,4.85012
8.63162,87977,31.6188
8.70658,89322,6.58457
8.72551,89324,25.5068
8.80485,90049,4.85012
8.83665,90051,36.6508
8.9105,91542,10.5021
8.92551,91544,25.5068
9.00485,92499,4.85012
9.03172,92501,31.7188
9.10784,94071,7.84463
9.12551,94073,25.5068
9.20485,94788,4.85012
9.24004,94790,40.0396
9.30485,96220,4.85012
9.32551,96222,25.5068
9.40485,96905,4.85012
9.43894,96907,38.9376
9.50608,98490,6.08099
9.52551,98492,25.5068
9.60485,99011,4.85012
9.63124,99013,31.2388
9.70787,100616,7.86838
9.72551,100618,25.5068
9.80485,100902,4.85012
9.83106,100904,31.0588
9.90588,102469,5.88099
9.92551,102471,25.5068
10.0049,102938,4.85012
10.0377,102940,37.7108
10.1084,104356,8.41063
10.1255,104358,25.5068
10.2049,105062,4.85012
10.2313,105064,31.2588
10.3076,106541,7.62457
10.3255,106543,25.5068
10.4049,107019,4.85012
10.4373,107021,37.2908
10.5056,108430,5.56083
10.5255,108432,25.5068
10.6049,108977,4.85012
10.6311,108979,31.0988
10.7061,110433,6.10864
10.7255,110435,25.5068
10.8049,110848,4.85012
10.8712,110850,71.2205
10.9049,112281,4.85012
10.9255,112283,25.5068
11.0049,113075,4.85012
11.0445,113077,44.4628
11.1094,114524,9.36499
11.1255,114526,25.5068
11.2049,115459,4.85012
11.2544,115461,54.3727
11.3087,116945,8.69451
11.3255,116947,25.5068
11.4049,117641,4.85012
11.4318,117643,31.7988
11.5049,119063,4.85012
11.5255,119065,25.5068
11.6049,119418,4.85012
11.6308,119420,30.7588
11.7069,121029,6.92838
11.7255,121031,25.5068
11.8049,121514,4.85012
11.8317,121516,31.6588
11.9091,122923,9.10457
11.9255,122925,25.5068
12.0049,123462,4.85012
12.0441,123464,44.1028
12.1106,124939,10.565
12.1255,124941,25.5068
12.2049,125235,4.85012
12.231,125237,31.0188
12.3056,126838,5.5688
12.3255,126840,25.5068
12.4049,127299,4.85012
12.4258,127301,25.8468
