nNodes,nFlows,Seed,NormalizedThroughput,OutageProbability,AvgDelayMs,AvgEnergyMJ,TotalEnergyMJ
25,25,1,0.155745,0.216078,466.155,11188.3,279707
25,25,2,0.153191,0.156446,214.893,11313.2,282829
25,25,3,0.0889362,0.171151,287.884,11212.7,280317
25,25,4,0.189362,0.274986,719.202,11306.1,282653
25,25,5,0.106383,0.142857,638.952,11192.8,279820
30,30,1,0.120567,0.225843,105.135,11283.2,338497
30,30,2,0.22305,0.305944,141.755,11356.2,340686
30,30,3,0,0,0,10938.1,328144
30,30,4,0.20922,0.368166,322.168,11382,341459
30,30,5,0.191135,0.21272,186.253,11493.1,344794
35,35,1,0.170821,0.258698,271.928,11295.9,395356
35,35,2,0.0659574,0.181573,332.455,11318.2,396138
35,35,3,0.0963526,0.212859,225.982,11412.3,399431
35,35,4,0.130395,0.181113,305.752,11427.8,399971
35,35,5,0.147416,0.195129,323.556,11400.1,399004
40,40,1,0.110638,0.288088,545.7,11441.9,457677
40,40,2,0.173404,0.323386,313.705,11444,457760
40,40,3,0.244681,0.282787,212.422,11428.4,457136
40,40,4,0.191489,0.217278,255.617,11478.3,459133
40,40,5,0.106383,0.269923,151.027,11447.2,457888
45,45,1,0.08487,0.249169,421.41,11358.7,511143
45,45,2,0.0560284,0.185787,564.408,11401.2,513055
45,45,3,0.129078,0.205786,227.359,11455.9,515515
45,45,4,0.0661939,0.165563,487.025,11487.4,516933
45,45,5,0.160757,0.209718,411.228,11387.6,512443
50,50,1,0.149787,0.243243,236.593,11429.1,571455
50,50,2,0.0831915,0.196751,546.108,11437.9,571896
50,50,3,0.117234,0.238892,325.006,11509.5,575473
50,50,4,0.0648936,0.290446,612.442,11442.2,572108
50,50,5,0.104681,0.236473,179.581,11486.6,574331
55,55,1,0.0725338,0.203515,354.447,11462.7,630450
55,55,2,0.0868472,0.18194,294.039,11456.9,630128
55,55,3,0.0980658,0.208951,417.259,11446.6,629560
55,55,4,0.115087,0.235842,302.893,11403.7,627206
55,55,5,0.0332689,0.14785,393.669,11426.3,628448
60,60,1,0.0955674,0.152724,208.129,11477.9,688673
60,60,2,0.0514184,0.25,664.445,11441.3,686478
60,60,3,0.119681,0.242048,199.913,11446,686757
60,60,4,0.112234,0.219745,212.628,11449.8,686988
60,60,5,0.0808511,0.112539,272.017,11467.5,688051
65,65,1,0.0441899,0.177515,586.522,11481.5,746301
65,65,2,0.0923077,0.247472,478.523,11444.1,743868
65,65,3,0.0566285,0.177713,419.683,11414.1,741916
65,65,4,0.091162,0.151983,295.845,11460.9,744959
65,65,5,0.0605565,0.219952,405.348,11435.6,743316
70,70,1,0.0650456,0.178703,394.848,11440.7,800849
70,70,2,0.0854103,0.196065,391.565,11422.6,799580
70,70,3,0.0758359,0.212803,333.078,11465.2,802562
70,70,4,0.0424012,0.173454,389.192,11494.9,804643
70,70,5,0.0861702,0.203307,338.833,11432.9,800306
75,75,1,0.0631206,0.205077,376.274,11467.9,860096
75,75,2,0.0446809,0.230962,443.665,11436.4,857727
75,75,3,0.128936,0.232963,346.449,11399.5,854965
75,75,4,0.0391489,0.188081,404.745,11398.3,854871
75,75,5,0.0646809,0.185558,342.593,11419.5,856463
